term,L1,df,sumsq,meansq,statistic,p.value
Genotype,LDMC,58,880019.1197720071,15172.74344434495,1.7411433684970736,0.0015591065810626964
Garden,LDMC,1,906.803566965136,906.803566965136,0.10405995612740047,0.7472276315614471
Genotype:Garden,LDMC,58,723314.2321747687,12470.935037496012,1.431098200476521,0.0295407783646241
Residuals,LDMC,311,2710129.0431151595,8714.241296190223,NA,NA
Genotype,LMA,58,10.367038365899777,0.17874204079137546,1.0988899000346855,0.30534989393993794
Garden,LMA,1,1.0186114910357373,1.0186114910357373,6.262331316139101,0.012920371515518784
Genotype:Garden,LMA,57,9.414256476556293,0.165162394325549,1.0154034618063352,0.4525945802486541
Residuals,LMA,272,44.24268081244495,0.16265691475163585,NA,NA
Genotype,SLA,58,219.69369304546214,3.7878222938872783,3.0263975251209656,6.906428488640707e-10
Garden,SLA,1,90.36557441528582,90.36557441528582,72.20036462848223,1.2961129210393956e-15
Genotype:Garden,SLA,57,111.70058338155236,1.959659357571094,1.5657303246258871,0.010115469687361621
Residuals,SLA,272,340.43368572215536,1.2515944328020419,NA,NA
Genotype,stomata_count,57,40994.11554691191,719.1950095949458,7.515989700911908,2.0967496452736745e-26
Garden,stomata_count,1,549.7802749225433,549.7802749225433,5.745511063000279,0.01750526575852653
Genotype:Garden,stomata_count,55,4638.65927534201,84.33925955167291,0.8813923869270472,0.7036018103326394
Residuals,stomata_count,189,18085.1574074074,95.6886635312561,NA,NA
Genotype,stomata_length,57,1.3008450033749264,0.022821842164472392,17.305033923644675,1.3668067384378202e-50
Garden,stomata_length,1,0.32390488977398635,0.32390488977398635,245.60616383102598,5.139371863899389e-36
Genotype:Garden,stomata_length,55,0.1684334712094754,0.0030624267492631893,2.3221350144633055,1.3959534988669437e-5
Residuals,stomata_length,189,0.2492528005502365,0.0013187978865091877,NA,NA
Genotype,thick,58,0.18277064164683127,0.0031512179594281255,4.157916265346005,1.218358572045085e-16
Garden,thick,1,0.31342279402953305,0.31342279402953305,413.54985596175163,1.3418189485116706e-59
Genotype:Garden,thick,58,0.0627260839289411,0.0010814842056713985,1.4269786563072155,0.03021859946876004
Residuals,thick,320,0.24252286065051049,7.578839395328453e-4,NA,NA
